id,Actual_price,Product_availability,Condition,Currency,Country,brand,Description,Category_name,primaryCategories,name,weight_in_kg,Actual_price_log,brand_standarized,Actual_price_mean_by_category_name,Category_name_encoded,Category_name_encoded_log
0,59.74,Yes,New,USD,USA,Sony,"Camera Accessories,Digital Camera Accessories,Dedicated Compact Camera Pouches,Camera Bags & Cases,Electronics,Camera Cases,Cameras & Camcorders,Photography,Used:Film Photography,Pouches,Used:General Photo Accessories,Used:Bags Cases,Used:Fitted Cases,Photography Bags Cases,Camera Bags, Cases & Straps","camera, bag",Electronics,Sony - Premium Jacket Camera Case - Black,1.4968536,4.1066,sony,59.74,231.88412057968313,5.4505
1,403.5,Yes,New,USD,USA,Sony,"Cameras & Photo,Electronics Features,Body Mounted Cameras,Electronics,Sports Action Cameras,Camera & Photo,Cameras & Camcorders,Used:Video,Action Cameras Accessories,Camera & Photo Features,Video,Camcorders,All Camcorders,All Action Camcorders,Used:Aerial Imaging Action Cams,Action Camcorders,Sports & Action Video Cameras,Used:Action Cams","camera, camcorder, action",Electronics,HDR-AS200V Full HD Action Cam,1.0886208,6.0026,sony,403.5,346.5629189150359,5.8509
2,648.0,Yes,New,USD,USA,Sony,"Digital Cameras,Cameras & Photo,See more Sony Alpha a6000 24.3 MP Digital Camera - Sil...,Mirrorless System Cameras,All Cameras,Electronics,All Mirrorless Cameras,Camera & Photo,Interchangeable Lens Cameras,Cameras & Camcorders,Photography,Camera & Photo Features,Mirrorless Cameras,See more Sony Alpha a6000  24.3 MP Digital Camera - Sil...","camera, mirrorless",Electronics,Alpha a6000 Mirrorless Digital Camera with 16-50mm and 55-210mm Lenses Kit (Silver),5.50207096,6.4754,sony,723.995,521.010301439748,6.2576
3,799.99,Yes,New,USD,USA,Canon,"Electronics,Cameras & Camcorders,All Cameras,Photography,Digital Cameras,DSLR Cameras,Digital SLRs,camera,Digital SLR Cameras,DSLR Body & Lens,Used:Digital Photography,Used:SLR Digital Cameras,Cameras & Photo","camera, mirrorless",Electronics,Canon Black EOS Rebel T5i Digital SLR Camera with 18 Megapixels and 18-135mm Lens Included,3.14339256,6.6858,canon,723.995,521.010301439748,6.2576
4,368.0,Yes,New,USD,USA,Sony,"Digital Cameras,Electronics Features,Used:Digital Photography,Cameras & Photo,All Cameras,Electronics,Camera & Photo,Used:Point Shoot Digital Cameras,Point & Shoot Digital Cameras,Cameras & Camcorders,Photography,Point & Shoot Cameras,Camera & Photo Features,Point Shoot Cameras","camera, shoot, point",Electronics,Sony - Cyber-shot DSC-HX80 18.2-Megapixel Digital Camera,0.24493968,5.9107,sony,149.2766,216.78413818972922,5.3835
5,19.95,Yes,New,USD,USA,Joby,"Cameras, Camcorders & Optics,Camera Accessories,Cameras & Photo,Digital Camera Accessories,Frys,Electronics,Tripods Support,Tripods & Monopods,Complete Tripods,Tripods,Tabletop Mini Tripods,Mobile,Cameras & Camcorders,Photography,Straps & Mounts,See more Joby Gorillapod Original Charcoal Black Tripod...,Tripod Legs,Tripods & Supports,Mobile Photo Video Accessories,Grips Support","camera, shoot, point",Electronics,GripTight Gorillapod Stand with Charge Case for iPhone 6/6s (Black/Charcoal),0.0453592,3.0421,joby,149.2766,216.78413818972922,5.3835
6,59.88,Yes,New,USD,USA,Fujifilm,"Instant Cameras,Digital Cameras,Cameras & Photo,All Cameras,Electronics,See more Fujifilm Instax Mini 8 Instant Film Camera,Computers Features,12 - 14 Years,Film Cameras,Cameras & Camcorders,Children's Cameras,Photography,Point & Shoot Cameras,Camera & Photo Features,Instant Film Cameras,Age,Film Photography","camera, shoot, point",Electronics,instax mini 8 Instant Film Camera and Groovy Case Kit (Raspberry),4.8987936,4.1089,fujifilm,149.2766,216.78413818972922,5.3835
7,173.49,Yes,New,USD,USA,Power Acoustik,"Auto & Tires,Auto Electronics,Car DVD and Video,Overhead DVD Players,Electronics,Car & Vehicle Electronics,Car Electronics,Car Video,Overhead Video,Car Electronics & GPS,Automotive","car, gps, dash",Electronics,"Power Acoustik Pmd-102x 10.1 Ceiling-Mount Swivel Monitor With DVD""",4.1276872,5.1618,power acoustik,93.0025,167.97789187784275,5.1297
8,22.26,Yes,New,USD,USA,Power Acoustik,"Electronics,Audio,Headphones,Car Electronics & GPS,MP3 Accessories,Portable Audio","car, gps, dash",Electronics,Power Acoustik HP10S PA FOLDABLE WIRELESS HEADPHONE SINGLE,5.0802304,3.1467,power acoustik,93.0025,167.97789187784275,5.1297
9,22.14,Yes,New,USD,USA,Pioneer,"Office,Office Technology,Phones & Accessories,Headsets & Accessories,Electronics,Computers,Computer Accessories,Computer Cables & Connectors,Consumer Electronics,Vehicle Electronics & GPS,Car Electronics Accessories,Adapters,Cell Phones,Accessories,Chargers,Car Electronics & GPS,Car Installation Parts & Accessories,Car Stereo Accessories","car, gps, dash",Electronics,Pioneer CD-AH200 Android Smartphone to HDMI Head Unit Connectivity Kit,0.453592,3.1416,pioneer,93.0025,167.97789187784275,5.1297
10,154.12,Yes,New,USD,USA,Cobra,"Electrical,Home Security & Video Surveillance,Security Cameras,Dash Cams,Auto & Tires,Auto Electronics,Car DVD and Video,All DVD Players and Screens,Electronics,Car & Vehicle Electronics,Car Electronics,Car Video,Overhead Video,Car Electronics & GPS,Car Safety & Convenience,Back-Up & Dash Cameras,Dash Cameras","car, gps, dash",Electronics,Cobra - CDR895D Front and Rear Camera Dash Cam - Black,0.453592,5.0442,cobra,93.0025,167.97789187784275,5.1297
11,89.99,Yes,New,USD,USA,Alpine,"Auto & Tires,Auto Electronics,Car Speakers and Subwoofers,Coaxial Speakers,All Car Speakers & Subwoofers,Car Electronics & GPS,Car Audio,Car Speakers,5\\ x 7\\ Car Speakers,Home,Car Electronics,Speakers,Electronics,Audio Speakers","car, speaker, subwoofer",Electronics,"Alpine - 5 x 7"" 2-Way Coaxial Car Speakers with Poly-Mica Cones (Pair) - Black""",2.7,4.5107,alpine,119.99,219.02118545013906,5.3937
12,149.99,Yes,New,USD,USA,Yamaha,"Outdoor Speakers,Auto & Tires,All Car Speakers & Subwoofers,Auto Electronics,Electronics,Car Speakers and Subwoofers,Home Audio,Speakers,Audio","car, speaker, subwoofer",Electronics,"Yamaha - Natural Sound 6-1/2 2-Way All-Weather Outdoor Speakers (Pair) - White""",2.2226008,5.0172,yamaha,119.99,219.02118545013906,5.3937
13,94.99,Yes,New,USD,USA,Sony,"Camera Accessories,Computers & Accessories,Digital Camera Accessories,Computer Accessories & Peripherals,Electronics,XQD,Used:General Video Accessories,Memory Cards,Cameras & Camcorders,Photography,Memory Cards Accessories,Used:Video,Used:Memory Cards","card, memory, camera",Electronics,64GB XQD G Series Memory Card,0.1360776,4.5642,sony,94.99,243.73042758761562,5.5001
14,182.06,Yes,,USD,USA,NZXT,"Computers,Cases & Towers,Computers & Accessories,Computer Components,Computer Cases,Electronics,Computers & Tablets,Computer Cases fcudxyacbbyvcybufzrayq,Desktop Computer Cases,Computer Cases txacysdzdcawcvedduur,Computer Cards & Components","case, computer",Electronics,Phantom 530 Full-Tower Case (Black),1.4288148,5.2098,nzxt,128.525,223.30498519184323,5.413
15,74.99,Yes,New,USD,USA,Logitech,"Electronics,Computers,Computer Accessories,Cases & Bags,Computers & Tablets,iPad & Tablet Accessories,Tablet Cases, Covers & Keyboard Folios,Tablet Keyboard Folios,Computers/Tablets & Networking,Tablet & eBook Reader Accs,Cases, Covers, Keyboard Folios,Docking Stations/Keyboards,Mobiles & Tablets,Accessories,Tablet Accessories,Cases & Covers,Computers & Accessories,Bags, Cases & Sleeves,Cases,Tablet Keyboards,Cases, Covers & Keyboard Folios,Keyboard Folios","case, computer",Electronics,Logitech - Logi FOCUS Keyboard Folio Case for Apple® iPad® mini 4 - Black,0.453592,4.3306,logitech,128.525,223.30498519184323,5.413
16,1399.0,Yes,New,USD,USA,Apple,"Computers,Computers & Accessories,Frys,Electronics,All-in-Ones,All Desktops,Desktops,Desktop & All-in-One Computers,Desktops & All-In-Ones,Mac Desktops,All Desktop Computers,Computers/Tablets & Networking,Apple,Apple Desktops & All-In-Ones,iMac,Computers & Tablets,Desktops Workstations,Desktop Computers",desktop,Electronics,21.5 iMac with Retina 4K Display (Mid 2017),5.6699,7.2442,apple,1399.0,678.3861217657537,6.5211
17,193.99,Yes,New,USD,USA,Seagate,"Computers,External Hard Disk Drives,Drives, Storage & Blank Media,Hard Drives (HDD, SSD & NAS),Computers & Accessories,External Drives bybuquurefudrexzzyztccycda,Drives Storage yuqzcyeerrs,External Drives uaedvcevatubu,Computer Accessories & Peripherals,Electronics,Hard Drives & Storage,Drives Storage,Computers/Tablets & Networking,External Hard Drives,Computer Components,External Drives,Computers & Tablets,See more Seagate Backup Plus Hub 8TB External Desktop H...,Data Storage","drive, storage, hard",Electronics,Seagate Backup Plus Hub 8TB External Desktop Hard Drive Storage + 2mo Adobe CC Photography (STEL8000100),1.06140528,5.2729,seagate,108.2166,160.67296268484841,5.0855
