id,Actual_price,Product_availability,Condition,Currency,Country,brand,Description,Category_name,primaryCategories,name,weight_in_kg,Actual_price_log,brand_standarized,Actual_price_mean_by_category_name,Category_name_encoded,Category_name_encoded_log
0,74.99,Yes,New,USD,USA,Lowepro,"Camera Accessories,Digital Camera Accessories,Camera Bags & Cases,Electronics,Camera Backpacks,Camera & Photo,Camera Cases,Cameras & Camcorders,Photography,Camera Bags,Photography Bags Cases,Backpacks,Camera Bags, Cases & Straps,Bags & Cases","camera, bag",Electronics,Photo Hatchback Series BP 150 AW II Backpack (Black/Gray),0.8164656,4.3306,lowepro,74.99,203.77855147224102,5.3219
1,359.99,Yes,New,USD,USA,360fly,"Cameras & Photo,360 Cameras,VR 360 Video,Camcorders,Video,Electronics,Camera & Photo,All 360 Video Cameras,Action Camcorders,Shop Cameras by Type,Sports & Action Video Cameras,Cameras & Camcorders","camera, camcorder, action",Electronics,4K Video Camera,2.721552,5.8888,360fly,359.99,298.77538518182536,5.703
2,28.62,Yes,New,USD,USA,Fujifilm,"Instant Film,Instant Cameras,Cameras & Photo,Digital Camera Accessories,Film,Electronics,Film Cameras,Cameras & Camcorders,Photography,Accessories,Photography edzuruvw,Instant Print Accessories,Instant Film Cameras,See more Fujifilm 600012976 Instax Mini Rainbow Film (1...,Film Photography","camera, mirrorless",Electronics,instax mini Rainbow Instant Film (10 Exposures),0.041,3.3884,fujifilm,28.62,188.32162658985808,5.2434
3,359.95,Yes,New,USD,USA,Nikon,"Nikon Cameras,Digital Cameras,Cameras & Photo,Used:Digital Photography,Shop Cameras by Brand,Electronics,Electronics Deals,Photography fxyybzbtrcbsrztvff,Camera & Photo,Used:Point Shoot Digital Cameras,Point & Shoot Digital Cameras,Cameras & Camcorders,Photography,Point & Shoot Cameras,Point Shoot Cameras,Point-And-Shoot Cameras","camera, shoot, point",Electronics,Nikon - COOLPIX B700 20.2-Megapixel Digital Camera - Black,0.56699,5.8887,nikon,636.3133,489.05924836765524,6.1945
4,1099.0,Yes,New,USD,USA,Canon,"Photography,Digital Cameras,Point & Shoot Cameras,Cameras & Photo,All Point & Shoot Cameras,All Cameras,Point Shoot Cameras,Electronics,Camera & Photo,Point & Shoot Digital Cameras,Cameras & Camcorders","camera, shoot, point",Electronics,PowerShot G5 X Digital Camera Free Accessory Kit,6.0327736000000005,7.003,canon,636.3133,489.05924836765524,6.1945
5,449.99,Yes,New,USD,USA,Olympus,"Digital Cameras,Cameras & Photo,All Point & Shoot Cameras,Electronics,Point Shoot Cameras suybxafwtcyzbfsf,Camera & Photo,Point & Shoot Digital Cameras,Cameras & Camcorders,Photography,Point & Shoot Cameras,Body Only,Waterproof Cameras,DSLR,Point Shoot Cameras,Cameras","camera, shoot, point",Electronics,Olympus TG-5 Waterproof Camera with 3-Inch LCD,0.2494756,6.1114,olympus,636.3133,489.05924836765524,6.1945
6,67.95,Yes,New,USD,USA,Isimple,"Consumer Electronics,Vehicle Electronics & GPS,Car Electronics Accessories,Bluetooth, Handsfree Car Kits,Auto & Tires,Automotive Tools & Equipment,Automotive Electrical,Electronics,Car & Vehicle Electronics,Vehicle Electronics Accessories,Audio & Video Accessories,Car Audio,Other Car Audio,Cell Phones,Accessories,Bluetooth Headsets,Car Electronics & GPS,Car Installation Parts & Accessories,Bluetooth/Hands-Free Car Kits,eBay Motors,Parts & Accessories,Car Electronics,Adaptors,See more iSimple ISFM2351 Tranzit Blu HF Audio Interfac...,Car Audio & Video Installation,Interconnect Cables,Cell Phones & Accessories,Headsets","car, gps, dash",Electronics,iSimple - TranzIt Bluetooth Factory Radio Module - Black,4.7173568,4.2333,isimple,132.07,177.43597587839852,5.1842
7,107.35,Yes,New,USD,USA,Kenwood,"Consumer Electronics,Vehicle Electronics & GPS,Car Audio,Car Audio In-Dash Units,eBay Motors,Parts & Accessories,Car Electronics,Car Video,In-Dash DVD Players Only,See more Kenwood DPX502BT Double DIN CD Receiver With B...,Auto & Tires,Auto Electronics,Car Stereos,Kenwood Car Stereos,In-Dash Audio Players,Car Receivers,All In-Dash Stereos,Electronics,Car & Vehicle Electronics,Car Stereo Receivers,Audio In-Dash Units,Car Electronics & GPS,CD Players,Audio,Stereos,Receivers & Amplifiers,Car & Truck Parts,Interior,Dash Parts,Car Amplifiers,Electronics Features,Car Tuner","car, gps, dash",Electronics,Kenwood - CD - Built-In Bluetooth - Apple® iPod®- and Satellite Radio-Ready - In-Dash Deck - Black,2.041164,4.6853,kenwood,132.07,177.43597587839852,5.1842
8,30.99,Yes,New,USD,USA,iSimple,"Car Electronics & GPS,Car Video,Headrest DVD Players,Cell Phones,Accessories,Car Mounts,Electronics,Tablet Accessories,Stands,MP3 Player Accessories,Mounting Kits","car, gps, dash",Electronics,"iSimple - StrongHold Headrest Mount for Most 7 - 10.2"" Tablets - Black""",0.453592,3.4654,isimple,132.07,177.43597587839852,5.1842
9,321.99,Yes,New,USD,USA,Pioneer,"Auto & Tires,Auto Electronics,Car Stereos,In-Dash DVD Players,Car Receivers,All In-Dash Stereos,Electronics,Car & Vehicle Electronics,Car Electronics,Car Audio,Car Stereo Receivers,Car Electronics & GPS,All Car Stereo Receivers","car, gps, dash", Siri Eyes Free,Pioneer Avh-x3800bhs 6.2 Double-DIN In-Dash DVD Receiver with Bluetooth,,5.7776,pioneer,132.07,177.43597587839852,5.1842
